conc_GSH
1.33
17.0
25.0
4.66
33.33
24.0
2.66
7.33
66.66
3.33
0.0
15.0
16.0
0.33
6.0
10.0
6.66
4.66
21.0
66.66
2.0
20.0
66.66
3.33
8.66
20.0
4.0
2.33
1.66
5.33
0.66
0.0
23.0
5.33
4.0
8.0
3.33
22.0
6.0
23.33
100.0
1.66
4.66
19.0
18.0
6.66
16.66
0.33
26.66
