BSA,PEG,phos
4.0,1.0,0
6.0,2.0,10
7.0,28.0,12
13.0,36.0,19
14.0,37.0,22
15.0,47.0,25
16.0,50.0,35
18.0,57.0,38
20.0,63.0,39
21.0,76.0,41
31.0,81.0,43
33.0,3,45
34.0,23,52
40.0,24,25
42.0,26,61
48.0,27,73
49.0,29,80
53.0,30,87
55.0,32,88
56.0,44,92
58.0,46,100
59.0,54,102
60.0,62,
69.0,64,
74.0,65,
75.0,66,
78.0,67,
85.0,70,
90.0,71,
91.0,72,
96.0,77,
101.0,79,
103.0,82,
5,83,
8,84,
9,89,
11,93,
17,94,
51,95,
68,98,
86,99,
97,104,
