conc_GSH
50
10
50
15
4
1
0
5
5
10
100
90
9
2
9
3
20
6
30
80
60
9
70
50
8
40
90
30
4
30
100
50
10
10
20
20
100
30
80
2
30
7
3
20
0
30
90
10
50
6
80
7
1
50
40
50
5
70
0
8
30
60
