,383
383,1.0
382,0.983933856790116
384,0.9765388494395004
385,0.9545454539944482
381,0.9491438360634787
380,0.897002462520881
386,0.8673158310411355
379,0.8276448913457184
378,0.7565740964620511
377,0.6915520051690461
387,0.6803385386380166
376,0.6273071588608822
375,0.5658550660645201
98,0.5552601246438184
100,0.5496750243897081
96,0.5489393412923094
95,0.5479222767773301
101,0.5450820172197736
97,0.5447527977091853
99,0.5426575162354709
94,0.5257034717708613
93,0.5251177871615847
102,0.5204909658269803
92,0.5197325118531663
388,0.5160365333060246
374,0.5097896440439559
103,0.5029272414802693
91,0.4992261729191794
105,0.48871851437520575
104,0.48596946164187377
90,0.4792046249477775
89,0.4704843592907817
87,0.46307774691047465
106,0.45679453612806087
88,0.44868204412636264
86,0.4405214779418591
107,0.43952689094717223
85,0.4385823517723847
373,0.43729392697626557
84,0.43578625487945727
83,0.4284106809175888
82,0.42030807277225185
81,0.4146055921829543
108,0.4070829816625813
80,0.40621786502542767
79,0.4000952966662923
77,0.3973429040514375
109,0.39283310034466445
74,0.3898404462725389
78,0.3833497903699567
110,0.3783546437888232
372,0.3776908703559031
76,0.37722994431900514
75,0.37088981004662164
69,0.3702843140486329
71,0.3603194010719178
72,0.3509820471481063
371,0.3504098058380731
389,0.34883067013262536
916,0.3453355505008648
73,0.3384698542094479
111,0.3380967333679914
366,0.3340662450308146
370,0.3317389509570385
364,0.3315698174954038
365,0.3313094660149087
34,0.32770222884520217
367,0.3276708835585812
368,0.32529013703643817
1133,0.3240896199616079
369,0.3233860905366299
200,0.3221039424140524
112,0.32038020466693046
113,0.3202148898767411
1035,0.31659107368361583
1023,0.31620387477508727
693,0.3160725560524176
363,0.31568379980599903
68,0.31549557237599
32,0.3096366730135058
695,0.3092560856450816
996,0.30436534036991036
692,0.3037108156410854
31,0.3033571678220854
33,0.30180302503056866
1194,0.30118113288619086
970,0.30105344198546574
67,0.3004952095410249
694,0.2969975979880333
70,0.2967840281444469
35,0.29615046337361595
696,0.2955174975209489
36,0.293204212136531
114,0.2914600595969641
116,0.2899446581126143
1136,0.2874722116296213
1187,0.28643457499592806
1027,0.28312687791610447
37,0.2827818471818051
38,0.2794968086082767
115,0.27760902397167925
362,0.27529134265447175
421,0.27455522067305055
118,0.27378850791552795
65,0.2705553338746947
117,0.27000256362510383
356,0.2689309761876251
323,0.2676281304620477
697,0.2675912070665257
122,0.2654317319814287
322,0.2651045270917847
1150,0.26499973817848216
66,0.26369748616216265
358,0.26322318392789207
201,0.2622855769348393
422,0.2614309968399194
120,0.25810312366901655
712,0.2574089232024449
1019,0.2565429456105435
119,0.2564862415162632
357,0.25622814675657163
420,0.2551250664700436
423,0.2521167649310274
1219,0.25200860682524556
124,0.2515693902169665
121,0.25136466535484775
29,0.250393673394539
359,0.2494382528557329
1044,0.24791102201530282
419,0.2471795037080695
125,0.24704880087026948
360,0.24647261602909443
713,0.24605419578597099
39,0.24602862224666794
123,0.2452039271197612
715,0.24391105120681097
710,0.24268900819207057
702,0.24207475281746824
716,0.24014381974391819
708,0.23933755760935985
361,0.23880255443037765
30,0.23875653606373085
898,0.23868610053830788
1151,0.23793180015041857
324,0.23786775950849523
718,0.23726174007339837
40,0.2371784342259108
714,0.23608878686677448
355,0.2360588087198065
719,0.2355910829877604
1077,0.23516934899078082
711,0.2347944405413948
62,0.23462061035867357
717,0.2343986254220957
703,0.23437268892223873
424,0.2342641807403206
321,0.233845046116773
1032,0.23221857835497742
709,0.23213457159622067
690,0.2315855619643561
698,0.23149874832846712
28,0.23086385588920783
691,0.22933852194041524
63,0.22867727232102938
1022,0.22840885840677466
707,0.22778540102867367
199,0.22694563661733577
700,0.22673110557986892
1132,0.22580433740107328
699,0.2257536884917035
705,0.22455948983712815
127,0.22441856658803472
720,0.2231286276395479
704,0.2228421815236471
893,0.22259476251797744
1028,0.22256438231964756
706,0.22255348006767295
896,0.2211128509491525
1202,0.2210933526523223
418,0.22091232436306316
41,0.2206409782700501
1120,0.21942911217239422
325,0.2190428097676519
701,0.2187092448325085
721,0.2174685466610093
1040,0.21704795581577896
686,0.21696456236935574
1131,0.214909082789026
64,0.21381752737909876
27,0.21304597589023608
894,0.2126658045979454
1003,0.21266133865466266
425,0.2124273266749452
936,0.21141035622593704
202,0.21107393792228
126,0.2104097490838258
1167,0.2102634792018695
211,0.2081614482919426
1174,0.20754727225716602
981,0.20692216158231533
1000,0.20627709346018078
210,0.20626578635549608
685,0.20518284391418376
1128,0.20458176828231292
42,0.20223165121343567
1268,0.20184244196918394
810,0.20164240025255836
786,0.20077606411559115
722,0.20035868051919847
903,0.20019118514337902
1051,0.19934437772844615
417,0.19784049308722632
1047,0.19616613975268424
320,0.19542173414270614
1060,0.19511978987196174
891,0.19321767232679002
900,0.19240146642422631
43,0.19211253289949545
212,0.1920813662130571
885,0.19079184154787865
1101,0.190153796594298
6,0.1893131387174476
1009,0.18872572515325647
1011,0.18851584781654449
1148,0.18819921695156408
26,0.18736860390938898
1168,0.18729683278903506
8,0.1872613599001632
1053,0.18682981492351616
958,0.18650897107410339
1117,0.18629184809569224
11,0.18584249107961104
1217,0.18568501039598304
5,0.18549696677562938
130,0.18458064826215226
128,0.1839309965713223
354,0.18338360451743005
888,0.18317086674996821
1197,0.18287366449488104
551,0.1822872564666205
426,0.18222887496482368
1041,0.1820995186430745
1195,0.18188397459395747
1212,0.18166262616407938
549,0.1814716652757523
791,0.1807574235716669
687,0.1795627178413789
723,0.17901998478001946
7,0.17893214255428352
4,0.1788930223867292
326,0.1786930315823923
902,0.178372043869899
1213,0.17831660240326194
10,0.17821232994652325
9,0.17806998853825226
3,0.17675437626244941
969,0.17664757243813664
2,0.17645294987967453
550,0.17578589170589987
23,0.17551249266869923
879,0.17484603337070795
789,0.17382947476312927
1033,0.17347586569833515
884,0.17333784361628488
1068,0.17303151379382137
552,0.17226763465355058
1016,0.17146407128203733
1026,0.1714285928307024
979,0.17135833594975017
880,0.17098779809302367
882,0.17080310345751584
889,0.1707264384250258
1081,0.17050245119656188
548,0.17044482777721115
973,0.17038140701256893
1140,0.17013842003637494
129,0.17013084762598701
553,0.16986672401510083
416,0.16972750328865285
899,0.16959934799398668
1114,0.16939052936732799
971,0.16925979934863655
1153,0.16900349447862895
242,0.16740051696456487
1037,0.167034416138565
1,0.16638382808830207
883,0.1663077619474605
1054,0.1658411997769278
689,0.16561366521484555
878,0.16429768708071082
238,0.16403544351592433
688,0.16400977574030087
1146,0.1636344280610771
881,0.1635942599550151
240,0.16283642047652433
1038,0.16245230785803608
1193,0.16226076249484356
906,0.1622180477089193
1180,0.1621829958842952
237,0.16206390658496145
992,0.16186957771928756
813,0.1617407569426692
547,0.16173690569779328
554,0.16170107574706674
1119,0.16168553525207235
804,0.1615557609704116
892,0.1611279742446735
555,0.16075180006026246
1045,0.16065086946447799
44,0.160462744013762
25,0.1604594141908375
897,0.15993846700181294
1025,0.159537762573877
24,0.15883427903718253
415,0.15867826653687953
245,0.15626421266369725
875,0.1562620872862688
877,0.15623114516856337
724,0.1559834823530757
246,0.15545846766727722
319,0.15544724288715384
241,0.15513194867860897
435,0.15479079334197487
239,0.15470440022332652
247,0.15431240378830693
1034,0.1537288507017471
12,0.15372709213235392
133,0.1532252206408642
248,0.1530045410167131
427,0.15299241394571267
1108,0.15282881197554382
556,0.15231808890820547
1138,0.15192289234858586
13,0.15167938320597524
873,0.15143647978650993
1048,0.15071668993311305
887,0.15063347798886825
1171,0.15042472529579545
1012,0.15010094897819357
243,0.14928089947675163
876,0.14872943027963112
874,0.14870593764985135
249,0.14868614021443677
890,0.14864282432306886
236,0.14844804019102195
244,0.14843346633177698
871,0.14841230983330014
1228,0.14830323188595282
868,0.1479616139071369
1056,0.14773187020880002
557,0.14752472897135877
1214,0.14743890146283328
14,0.14735773085955056
886,0.14728161715698979
1203,0.14676431215474797
865,0.1462735683569406
869,0.14625175937896212
45,0.1457277523734328
870,0.14533712381003244
1134,0.14526809423869122
1061,0.14524787357478977
684,0.14515567697027615
864,0.1440712222574469
1269,0.14359129638766632
814,0.14315104317232644
974,0.1428824649419722
1042,0.14247276408264353
683,0.1415137112534124
