154,153,155,156,152,157,151,599,600,601,598,602,158,597,603,159,150,604,596,160,605,595,350,223,224,161,149,222,225,351,349
101638,101599,101214,100790,101376,100907,100982,80308,80436,80261,80565,79828,100424,80322,79988,100370,100484,79829,80254,100027,79694,79964,82408,89601,89345,99612,100490,89423,89473,82035,82582
413543,415990,411106,407816,417720,404455,421735,389028,389859,392147,389644,394902,401517,390118,400191,398397,426453,406794,390396,396289,418801,390432,335222,316892,315546,392752,432597,318564,313963,331202,340769
335824,334893,335977,338314,333090,338418,331291,308930,312079,315051,306876,319031,340336,304665,324336,339870,329375,329282,303034,338640,335771,302112,296370,260869,260429,338933,328115,260700,260855,292188,300164
114378,113720,113598,113492,113660,112959,112551,103756,103797,104112,103589,103919,113051,103414,103963,112413,111334,104457,103132,112015,104554,102635,100486,98490,98844,111859,110289,98373,98468,99681,101548
183126,182623,183122,182472,182550,182057,182491,228245,228993,228782,228750,229165,181627,227561,228574,181980,182340,228794,226773,181538,228903,227392,197483,186498,187014,181602,182392,185971,187022,197977,197679
97743,98161,97593,97631,98597,97219,98631,231437,231255,230237,232376,231045,97251,232654,230571,97385,98763,230601,233030,97518,230762,233677,146219,106962,107234,97229,99125,106442,107690,147433,145393
340374,338954,340139,338892,336281,337679,332565,478765,480621,479791,477747,479661,336359,475942,479229,336417,330281,478018,473832,335208,476990,472443,392177,352675,353570,333974,327154,350641,355183,392730,392155
327514,325743,327292,324864,324012,323305,319391,460480,461582,461452,458116,460975,323224,457127,460477,322490,316861,458831,455239,321081,457721,453507,376510,337950,339185,319847,314082,336580,340223,376245,376961
62405,62678,62076,61654,62720,61655,62691,58191,57965,58043,58228,57898,61382,58203,57585,61142,62356,57541,58201,60963,57461,57979,57034,59573,59573,60953,62060,59601,59612,56712,57155
97419,97629,97606,97461,97752,97546,97699,234813,233891,233452,235038,234195,97576,235543,233672,97534,97711,233190,235242,97695,233254,236659,149061,108577,108567,97795,98080,107997,108957,150018,148008
84318,84856,84302,84290,85361,83668,85435,65679,65787,65726,65783,65707,83782,65676,65824,83701,85772,65836,65691,83384,65699,65756,67626,75569,75597,83037,85912,75828,76109,67621,67654
109887,109435,109121,109625,108866,109584,108429,91826,91904,91930,91647,92366,109822,91480,92390,109637,107737,92932,90917,109719,93397,90691,94060,94812,94567,109668,107157,94739,94892,93593,94266
108740,108964,108127,107858,108424,107311,107837,105637,105188,105275,105808,105152,107120,105481,104930,106798,106982,104585,105027,106427,104094,104682,95799,97823,98120,106200,106013,97530,97989,95433,96264
409802,409430,410022,410899,407947,409712,408041,560773,560407,560406,560928,561748,409589,560949,560961,411056,407104,560717,559324,410675,561643,560506,486055,436174,437400,411284,407645,435228,437630,486880,484956
258361,257086,258045,257126,253965,255819,252104,356619,357352,357533,356023,357201,254281,356723,356404,253590,249338,356348,353599,253836,355007,353089,294195,261128,261968,252643,247403,260726,264005,293214,293365
235445,234907,235327,235383,234183,235542,233549,307918,307976,307859,307624,308278,235823,307543,308620,236135,232785,309377,306902,235812,309150,307321,261063,242011,242472,234932,231915,241067,242616,260690,261047
