,1338
771,0.8803405758334784
774,0.8544524050485836
777,0.8446043606490625
770,0.8437270335834135
776,0.8431917594547167
775,0.842943932518612
773,0.8372546484972739
778,0.8346313805838385
769,0.8302135079500953
772,0.8284523072626659
779,0.8226355864443194
768,0.814481450957209
766,0.7923725553294408
767,0.7897367543144554
765,0.7721949148481932
780,0.7699157941353149
781,0.6969076338308432
764,0.666267613235101
763,0.5785341638284006
782,0.5619296886047709
761,0.5382030705807017
762,0.5178725138726155
759,0.448094461262634
783,0.4196771252257738
760,0.36351408700845805
135,0.3476542275029164
29,0.327834963956497
421,0.3084769731665165
1305,0.30743870491702535
370,0.30599863322452253
398,0.305696505550861
389,0.3021467493247782
383,0.301129735952275
406,0.29643182323917905
28,0.2953239599858636
1337,0.2951959243222995
418,0.29428722317208367
338,0.29232043212710396
366,0.29167493378832665
948,0.28626460297670353
395,0.2831221992668193
352,0.2828896840752808
136,0.2826084365012035
1315,0.28194361122102385
1303,0.28118915112685533
1310,0.2809974339164877
367,0.2755115778057535
391,0.2747568220837965
400,0.27155730803450334
134,0.27022722897852913
396,0.26904877800819726
757,0.2680488439997578
382,0.2670679989754991
1332,0.26572398754710447
784,0.2642501009305911
342,0.2628759884216147
348,0.26242869197751184
446,0.25022662912445426
1302,0.2501001274297083
345,0.24954021169794371
30,0.2487184214883734
368,0.245546056465823
331,0.24379118242401948
335,0.24289806295702757
361,0.23605695708327554
330,0.23492449177193758
386,0.23018390561128893
349,0.22938429449555942
1281,0.22842466897502078
1336,0.2277659878655282
384,0.22740126430582044
362,0.2272292426711926
133,0.22490869685204815
334,0.22213366677492932
355,0.22133510693381175
420,0.2213215990066441
641,0.2188334679529098
339,0.21764882218110002
1317,0.21763293762741076
416,0.21579339497202868
412,0.21542863340679097
321,0.2125167960633851
392,0.21207307457183644
359,0.20963133512688426
402,0.20919495698114918
317,0.2086852395906914
325,0.20810143778680099
340,0.2077539584688504
1309,0.20563050899560828
1289,0.20557136160484138
318,0.20492499708097048
131,0.20410700863391257
949,0.2038760294021118
347,0.20387488903234877
375,0.20204120782802887
622,0.2018257429477338
132,0.2013434100227937
381,0.20122793509037157
425,0.19687756748125188
308,0.1965440360050432
320,0.19576543208942843
397,0.19574278381147167
351,0.19566807660321633
380,0.19459334406921622
1307,0.19314436991694622
758,0.19179443476246527
785,0.1916164240773993
27,0.19156175391161512
326,0.19034457246202552
373,0.1892712428285142
323,0.1876022473462278
353,0.18745762916007339
346,0.18652138827401704
1294,0.18585779395182692
343,0.185436983531361
587,0.18533464265239186
431,0.18501095946921498
363,0.18498950522423152
332,0.18489006621194798
130,0.18401159321955812
1300,0.18353117213325612
364,0.1834662348883863
424,0.18257379822243627
1325,0.18252671987436475
313,0.18167569077204387
4,0.1808723280520372
356,0.17989001142074126
950,0.1796606431103669
405,0.17952677824488708
1295,0.17908741116292937
371,0.17888138048349878
1316,0.17776487152876558
312,0.17771294023481732
350,0.177059354999547
379,0.17689399788372379
129,0.17568339627989887
365,0.17515946023749304
413,0.1750085920066741
128,0.17475384390908588
1262,0.1732928856978348
322,0.17310941546991376
341,0.1727540925410895
951,0.17239011454549838
377,0.1715268743922844
649,0.17119664675198393
309,0.17077032308086748
408,0.17044988949106343
304,0.1702145395725489
417,0.16987148239653388
113,0.16756303149697505
344,0.1663989833103537
329,0.1660385037154533
608,0.16566073039987955
316,0.16505452443778615
315,0.16387333705636722
112,0.16382704193411987
336,0.16339294743912022
357,0.16232900645466686
333,0.16160013120672703
324,0.16147978932289161
575,0.16051616697563115
137,0.15982287644154902
644,0.15967134279443262
1320,0.15952441302410741
753,0.1590322515782428
410,0.15806701452827515
754,0.15796923412308764
1288,0.1576000974840344
328,0.15756087970581134
127,0.15740156769745126
114,0.15624745063718387
631,0.15574856184373467
605,0.1556551155269109
116,0.15558259609762737
952,0.15494174421990023
755,0.15465534988928725
110,0.15385143847963983
401,0.15384576360380492
639,0.15368132392494407
327,0.15357024587205162
387,0.15354340507175718
360,0.1516053487577866
303,0.14977775042223992
409,0.14958302399512188
378,0.1492283272776648
660,0.14797645458557676
117,0.14757160373295794
407,0.14752169058661055
111,0.146044143575188
319,0.14571646423646492
433,0.1456033580583152
26,0.14516610948098255
31,0.1448826855559819
423,0.14435975541800303
1261,0.14331783176962548
337,0.14325640014990898
664,0.14316862691697127
655,0.1430561861041178
1308,0.14283354815579158
358,0.14208743239788973
306,0.14183838922446285
7,0.14138952646607597
307,0.14137915249903843
126,0.14132441546101626
