,1338
1338,0.9999999999999999
231,0.8777427531777521
229,0.8629944943597795
479,0.8589417628968103
226,0.8579198189559523
230,0.8479575143696816
232,0.8471595503658953
227,0.8385968499606572
234,0.8337492645633544
225,0.8223000634290383
370,0.8213750977101427
426,0.8199631568517665
224,0.8190541616457742
228,0.8143143691004855
222,0.8137336555088911
427,0.8006886309135233
478,0.7988279695645029
480,0.7988210442597157
425,0.7897837621418536
428,0.7889640278140656
567,0.783901437699043
731,0.7817733635169237
429,0.7787802803589697
233,0.7732518825799288
726,0.7708357978040985
725,0.7675255810577335
223,0.7674230500363676
235,0.7650252762299212
723,0.7648592343383981
727,0.7623723231681048
237,0.7623147894648349
730,0.7617784970368097
732,0.758848275557705
154,0.7567519118786564
724,0.7564759533290919
733,0.753368590765561
153,0.751518302444451
736,0.7505395111894679
728,0.7486201547607124
729,0.7474793297019828
152,0.7462886228564334
236,0.7454193672311665
722,0.7438232846373749
424,0.7416518344661871
735,0.7398854630333614
328,0.7376043521702372
734,0.7367901831948832
430,0.7359823681756972
721,0.7349223950327987
329,0.7298893914120403
719,0.7288809558589289
220,0.7283084341127023
737,0.7248350228896251
158,0.7210263348020926
738,0.7169858490358362
720,0.7163062589417236
718,0.7079371448986195
717,0.7073911670671732
330,0.7063988225336978
569,0.7005478587112759
716,0.6997933940859054
327,0.6994309855950965
239,0.6988549117210178
1278,0.6978282267866345
712,0.6972336594666209
739,0.6970129277064327
715,0.6916683482883519
156,0.6912957161454383
964,0.689261094912165
740,0.6878744209787494
151,0.6868195657143751
714,0.6847676438898249
251,0.683579784569506
7,0.6789731081817648
4,0.6777118579206743
157,0.6769260548627132
598,0.6759860450536604
597,0.6755728411217469
711,0.6749086019523756
476,0.6713811800451054
155,0.6682863475818949
3,0.6682372865740372
331,0.6678336993007172
221,0.6627053869533716
713,0.6622123002851333
1269,0.6618318844779476
159,0.660133921582572
572,0.6587984551872691
1012,0.655793503906334
1197,0.6552161433169311
1276,0.6543037444069222
326,0.6522621853713051
481,0.6521995566541101
596,0.6517226250983086
243,0.6485097617433255
710,0.647171015720811
332,0.6456224339746252
708,0.6448838842791013
1273,0.6442312110020005
599,0.6440452474118022
741,0.6428508702341817
256,0.6408786254693642
571,0.6400273884968972
484,0.6391030023221711
423,0.6367372586107417
1153,0.6359967022882673
219,0.6337027357890781
348,0.6336772464833159
707,0.6323442192492834
595,0.629957098668375
1162,0.6282538081198968
742,0.6281386919083948
1329,0.6254145980798121
482,0.624296901004731
1283,0.6241754930685468
1333,0.6239378540200029
743,0.6234437248093505
369,0.6227786749648497
709,0.6220461201138743
6,0.6191422243156885
1331,0.6178688677822779
1334,0.617437472473883
349,0.616335008480749
347,0.6159752470900035
261,0.6142999997496724
1336,0.6113682134219393
744,0.6096982877557469
1337,0.6068906985093752
568,0.6061344651814866
5,0.6039785452029409
1335,0.6037239733616644
1277,0.5987664375881255
333,0.5984453653013331
1032,0.5983127438340355
477,0.5979137079344351
706,0.5955155158874675
1275,0.5949725212473083
745,0.5931379979069039
431,0.5918559830394475
705,0.5897961788762587
747,0.5893032961247412
206,0.5889129511718741
350,0.5881541829587341
260,0.5860438641776908
704,0.5854456958369668
752,0.5851175787351705
748,0.5841210064868069
594,0.5839043906227618
1330,0.5798285488425159
1163,0.5783721543229993
2,0.5764705295830281
1,0.5762086807715173
1039,0.5755046334292528
600,0.5743830839966017
253,0.5730088677633475
367,0.5705448713764715
663,0.5689693941382673
1265,0.5652611230647054
242,0.5648534149938821
334,0.5636392025644338
1332,0.5636337195196728
698,0.5627218241692312
1029,0.5626880571566586
238,0.5625157677664329
753,0.559670828284764
697,0.5590065044644207
346,0.5584846260928993
758,0.5583499012307629
1328,0.5580335715021587
325,0.5573952750975809
587,0.5566788495692191
749,0.5564835044509486
746,0.5546141889830691
695,0.5543141313895865
555,0.5511590203589252
694,0.5491973800922902
586,0.5483043128926622
475,0.5481558381019759
150,0.5480912269119785
701,0.5480603359943262
703,0.5454492608410048
473,0.5453435518837587
593,0.5450452457430787
692,0.5429902498778089
1006,0.5420742598712379
1274,0.5420520166655073
1327,0.5417439804841904
702,0.5412862729241279
