,1338
1022,0.8618684852312157
763,0.8318232140394161
766,0.8111493133536375
769,0.8109374506365896
764,0.810408492328967
765,0.8093363137006513
768,0.808685653073459
782,0.8081539569020273
767,0.8071890086235813
771,0.8062228757411906
784,0.8060538976538959
770,0.8028784042514463
781,0.8021613693475014
783,0.8017027362821788
780,0.7995276984423467
774,0.7981544693147331
772,0.793759138122202
778,0.7935731068253038
775,0.7918444598709721
777,0.7898916184667251
779,0.7897385214894231
762,0.7896093706345596
773,0.7888772156686542
776,0.7879365795332086
785,0.775782382938815
761,0.7675455288314256
786,0.7255038284206516
759,0.6921416494086327
760,0.681541725787798
787,0.6327965018142717
1021,0.6303404199973889
74,0.5987856321310919
758,0.571404042955041
788,0.5011136620438074
1020,0.47486098252272607
73,0.463775583204494
1023,0.46099925512208423
757,0.44322162935276177
493,0.43801259205915904
75,0.4368532674995001
497,0.40987883217465915
1019,0.4071404014144275
480,0.40315486062674866
485,0.3975460452287313
1337,0.3974766004393131
496,0.39359276915002983
481,0.390156810333286
541,0.3869371319720982
529,0.3840872905870667
494,0.3830163975185746
495,0.3812599636774043
484,0.3770917968511438
521,0.3755670962954033
526,0.37453831941014587
1018,0.37295370987698
1002,0.37022195498224253
508,0.3698171023132338
492,0.3696953391095965
502,0.3690863422182484
1003,0.3690318208380735
531,0.3676431166246656
512,0.3673610523404797
581,0.36734505397795697
1001,0.36698098731337436
756,0.3659590236394432
1004,0.36584454299616975
1005,0.3626108960563702
590,0.360958922651349
509,0.36074393778919644
72,0.3569836404680794
491,0.35664267260210575
1000,0.3549670638776788
1017,0.3545864969542391
789,0.3545782316903969
534,0.3523440990388758
486,0.35233870751325125
540,0.35194068624143915
528,0.3517503949955751
1006,0.35160361608004476
505,0.35140605224990984
527,0.3511352710087588
522,0.3502159655498396
524,0.34930838582051044
518,0.34866873711821145
525,0.34858616771744055
488,0.34730938065593586
999,0.3468604327419867
536,0.34627369413427006
1007,0.3453532155215379
545,0.3437191004339733
499,0.34266395469782474
511,0.34253229509668837
498,0.34186451353840686
538,0.3410689205320548
1008,0.3399100659161278
532,0.3379004126433465
506,0.3376746272770699
520,0.33733293048713214
510,0.3368907774895396
483,0.3356078025031714
514,0.3346579391724124
515,0.333463300190787
546,0.3334609006724226
1016,0.33342490534356084
535,0.3331694481416293
476,0.33249678904326474
584,0.33217213803493634
1009,0.33216638541879134
998,0.3302069620590567
1015,0.3298039237758951
