,1338
1338,1.0
288,0.8145346880991464
396,0.759296024239218
56,0.7514282346992327
154,0.747879561794381
155,0.734169662443388
157,0.7320239644756716
158,0.731984878869407
289,0.7243717152533601
403,0.7216628416356279
153,0.7210135022412679
339,0.7188502984052212
394,0.718327619446223
762,0.7165365926620741
660,0.7164725671171532
338,0.716400166702506
1233,0.7125169864717843
57,0.7116784977126611
156,0.7086343575025528
336,0.7085119615406369
405,0.7017657683566547
337,0.6978537447952409
292,0.6952024007839325
395,0.6941734555810963
160,0.6915800135389917
404,0.686209538522794
163,0.6850953470451308
290,0.6839882128954371
161,0.682933771758055
340,0.6794606647768284
335,0.6736429096203429
162,0.6727075607310224
55,0.6722034521067197
771,0.6710891005830072
665,0.6670707165299419
281,0.6669299062101602
482,0.6660271155503495
159,0.6638260202214094
401,0.6634928448934894
58,0.6592609263324392
764,0.65597884503844
767,0.650205692743643
152,0.6486346778152068
400,0.6482046894851665
766,0.6481768635392012
765,0.6470998271447964
768,0.6449484175830572
399,0.6344351970217128
341,0.6329182173499347
402,0.6294778529078712
164,0.6291080912458145
760,0.626594357661993
334,0.6256065380122117
481,0.6230071916697921
758,0.6224994341555239
285,0.6138749621157377
657,0.6134875933851702
165,0.6132612315981746
342,0.6126084871241146
397,0.6115612495036575
1110,0.611116879030151
571,0.6085353741874366
348,0.6079217450953346
775,0.6078925266348452
761,0.607696827589684
344,0.6073521790847927
663,0.6069836373339681
479,0.6054406061785217
763,0.6049635555998809
659,0.6043277224177478
480,0.6002927772963569
291,0.5998603586076334
347,0.5981408581274992
601,0.5977968152362622
666,0.5966251340534583
343,0.593552938950426
52,0.5935358877866974
345,0.5928445859117958
346,0.5917154489159289
650,0.5895776955848762
774,0.5885125861313221
672,0.5828905367275026
54,0.5808995393973718
600,0.580372648405121
1192,0.5790731298510593
664,0.5758372973319906
776,0.5748120305439988
151,0.5683224905439419
790,0.5670995974916881
1015,0.5665256391833975
333,0.5660070673892612
598,0.5656741619514091
398,0.5643542386111826
350,0.5641119476524046
