BSA,PEG,phos
4.0,1.0,0
6.0,2.0,3
7.0,28.0,5
13.0,36.0,8
14.0,37.0,9
15.0,47.0,10
16.0,50.0,11
18.0,57.0,12
20.0,63.0,17
21.0,76.0,19
31.0,81.0,22
33.0,109.0,23
34.0,112.0,24
40.0,113.0,25
42.0,117.0,26
48.0,120.0,27
49.0,121.0,29
53.0,124.0,30
55.0,133.0,32
56.0,134.0,35
58.0,135.0,38
59.0,136.0,39
60.0,143.0,41
69.0,149.0,43
74.0,155.0,44
75.0,156.0,45
78.0,,46
85.0,,51
90.0,,52
91.0,,54
96.0,,61
101.0,,62
103.0,,64
105.0,,65
106.0,,66
110.0,,67
114.0,,68
116.0,,70
118.0,,71
119.0,,72
123.0,,73
126.0,,77
127.0,,79
128.0,,80
141.0,,82
147.0,,83
157.0,,84
159.0,,86
,,87
,,88
,,89
,,92
,,93
,,94
,,95
,,97
,,98
,,99
,,100
,,102
,,104
,,107
,,108
,,111
,,115
,,122
,,125
,,129
,,130
,,131
,,132
,,137
,,138
,,139
,,140
,,142
,,144
,,145
,,146
,,148
,,150
,,151
,,152
,,153
,,154
,,158
,,160
