conc_GSH
0.0
0.0
0.0
50.0
5.0
10.0
0.0
3.0
5.0
3.0
0.0
30.0
10.0
0.0
10.0
6.66
66.66
20.0
5.33
4.0
3.33
6.0
23.33
4.66
16.66
26.66
