conc_GSH
20
0
50
100
40
50
10
50
30
50
15
0
4
1
0
5
0
5
10
100
50
100
0
90
9
2
9
3
0
20
0
6
30
80
25
50
60
5
9
0
70
10
50
8
40
90
0
30
4
0
30
100
80
0
50
10
25
90
10
20
3
0
20
100
10
30
80
2
30
5
7
3
20
0
30
90
10
3
50
6
80
0
7
1
50
40
50
5
30
70
60
0
10
70
8
30
60
50
1
5
10
0
1
10
10
2
5
10
25
100
5
50
5
2
100
2
100
0
25
5
0
2
25
10
50
0
2
1
25
5
100
2
50
1
