conc_GSSG
50.0
0.0
0.0
5.0
0.0
10.0
0.0
0.0
30.0
0.0
3.0
1.33
4.16
0.0
50.0
1.16
1.5
2.5
66.66
5.83
3.33
1.66
1.0
3.33
0.83
5.0
50.0
20.0
100.0
30.0
30.0
90.0
40.0
80.0
1.0
6.0
7.0
6.0
8.0
9.0
4.0
10.0
10.0
5.0
3.0
20.0
2.0
2.0
4.0
7.0
9.0
8.0
60.0
70.0
9.0
