conc_GSH
50.0
10.0
50.0
15.0
4.0
1.0
0.0
5.0
5.0
10.0
100.0
90.0
9.0
2.0
9.0
3.0
20.0
6.0
30.0
80.0
60.0
9.0
70.0
50.0
8.0
40.0
90.0
30.0
4.0
30.0
100.0
50.0
10.0
10.0
20.0
20.0
100.0
30.0
80.0
2.0
30.0
7.0
3.0
20.0
0.0
30.0
90.0
10.0
50.0
6.0
80.0
7.0
1.0
50.0
40.0
50.0
5.0
70.0
0.0
8.0
30.0
60.0
1.33
17.0
25.0
33.33
24.0
2.66
15.0
16.0
0.33
21.0
2.0
3.33
20.0
2.33
1.66
0.66
0.0
23.0
22.0
100.0
19.0
18.0
0.33
