conc_GSH
20.0
0.0
50.0
100.0
40.0
50.0
10.0
50.0
30.0
50.0
15.0
0.0
4.0
1.0
0.0
5.0
0.0
5.0
10.0
100.0
50.0
100.0
0.0
90.0
9.0
2.0
9.0
3.0
0.0
20.0
0.0
6.0
30.0
80.0
25.0
50.0
60.0
5.0
9.0
0.0
70.0
10.0
50.0
8.0
40.0
90.0
0.0
30.0
4.0
0.0
30.0
100.0
80.0
0.0
50.0
10.0
25.0
90.0
10.0
20.0
3.0
0.0
20.0
100.0
10.0
30.0
80.0
2.0
30.0
5.0
7.0
3.0
20.0
0.0
30.0
90.0
10.0
3.0
50.0
6.0
80.0
0.0
7.0
1.0
50.0
40.0
50.0
5.0
30.0
70.0
60.0
0.0
10.0
70.0
8.0
30.0
60.0
1.33
17.0
25.0
4.66
33.33
24.0
2.66
7.33
66.66
3.33
0.0
15.0
16.0
0.33
6.0
10.0
6.66
4.66
21.0
66.66
2.0
20.0
66.66
3.33
8.66
20.0
4.0
2.33
1.66
5.33
0.66
0.0
23.0
5.33
4.0
8.0
3.33
22.0
6.0
23.33
100.0
1.66
4.66
19.0
18.0
6.66
16.66
0.33
26.66
