conc_GSSG
2.33
0.0
16.66
23.0
1.33
0.0
16.0
4.16
0.0
0.0
0.0
3.33
50.0
2.0
0.0
1.16
1.5
0.66
2.66
2.5
22.0
3.0
0.0
3.66
24.0
19.0
20.0
0.33
66.66
5.83
3.33
1.66
17.0
2.66
0.33
3.0
4.0
21.0
1.0
25.0
1.0
15.0
4.33
18.0
3.33
3.33
2.0
50.0
1.66
2.33
0.83
5.0
1.66
33.33
16.66
1.33
