conc
20.0
50.0
0.0
30.0
0.0
50.0
50.0
60.0
10.0
0.0
0.0
70.0
0.0
0.0
20.0
80.0
3.0
0.0
1.0
90.0
9.0
40.0
50.0
16.66
23.0
16.0
0.0
0.66
22.0
24.0
19.0
20.0
0.33
17.0
2.66
3.0
21.0
25.0
1.0
15.0
18.0
3.33
2.0
50.0
1.66
2.33
33.33
1.33
2.33
0.0
0.0
3.33
2.0
0.0
2.66
3.0
0.0
3.66
4.0
4.33
1.66
16.66
