conc
20.0
50.0
100.0
40.0
30.0
50.0
0.0
50.0
100.0
0.0
0.0
25.0
0.0
0.0
80.0
0.0
25.0
90.0
0.0
10.0
60.0
70.0
4.66
7.33
66.66
3.33
6.0
4.66
66.66
8.66
4.0
5.33
8.0
1.66
6.66
